Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball Control,Composure,Crossing,Curve,Dribbling,FK Accuracy,Finishing,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Heading Accuracy,Interceptions,Jumping,Long Passing,Long Shots,Marking,Penalties,Positioning,Reactions,Short Passing,Shot Power,Sliding Tackle,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys
G. O'Neil,34,https://cdn.sofifa.org/sm/18/players/53593.png,England,https://cdn.sofifa.org/flags/14.png,67,67,Bristol City,https://cdn.sofifa.org/xs/18/teams/1919.png,230000.0,23000.0,1870,52,75,67,77,70,67,68,70,65,66,62,12,8,15,8,14,54,65,67,68,67,63,64,58,67,71,66,58,51,56,65,66,70,65
L. Cadamuro,29,https://cdn.sofifa.org/sm/18/players/200538.png,Algeria,https://cdn.sofifa.org/flags/97.png,67,67,Nîmes Olympique,https://cdn.sofifa.org/xs/18/teams/224.png,575000.0,4000.0,1657,60,71,59,54,65,50,68,53,55,42,33,11,11,6,8,7,69,68,65,62,28,64,45,48,70,68,62,64,70,66,63,71,47,24
G. Loovens,33,https://cdn.sofifa.org/sm/18/players/139866.png,Netherlands,https://cdn.sofifa.org/flags/34.png,67,67,Sheffield Wednesday,https://cdn.sofifa.org/xs/18/teams/1807.png,300000.0,28000.0,1341,34,73,31,49,53,68,42,38,46,12,21,9,14,12,8,11,71,66,51,57,19,67,24,17,54,61,52,64,36,45,68,75,35,26
T. Ondaan,23,https://cdn.sofifa.org/sm/18/players/210011.png,Netherlands,https://cdn.sofifa.org/flags/34.png,67,71,PEC Zwolle,https://cdn.sofifa.org/xs/18/teams/1914.png,1000000.0,6000.0,1760,89,57,82,77,64,45,62,71,75,44,56,9,12,13,8,6,64,60,91,44,66,19,52,62,62,60,74,29,87,66,21,70,54,54
S. Gbohouo,28,https://cdn.sofifa.org/sm/18/players/218971.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,67,68,,https://cdn.sofifa.org/flags/108.png,0.0,0.0,1030,40,31,40,55,17,13,13,16,11,11,12,66,65,70,65,68,11,12,50,13,16,11,23,11,65,14,11,12,42,30,13,68,36,12
Jose Emeirson,25,https://cdn.sofifa.org/sm/18/players/230491.png,Brazil,https://cdn.sofifa.org/flags/54.png,67,67,Vitória ,https://cdn.sofifa.org/xs/18/teams/1719.png,825000.0,8000.0,1636,73,49,40,75,60,66,53,53,71,71,55,19,18,12,18,15,56,23,40,60,68,22,70,72,57,74,55,38,75,41,48,41,68,46
D. Duarte,17,https://cdn.sofifa.org/sm/18/players/235355.png,Netherlands,https://cdn.sofifa.org/flags/34.png,67,82,Sparta Rotterdam,https://cdn.sofifa.org/xs/18/teams/100646.png,1500000.0,4000.0,1767,69,62,75,70,74,64,62,60,69,38,59,8,6,5,10,14,58,43,75,62,60,55,50,46,60,65,72,54,75,70,60,72,71,38
M. Duruer,29,https://cdn.sofifa.org/sm/18/players/178011.png,Turkey,https://cdn.sofifa.org/flags/48.png,67,67,Gençlerbirliği SK,https://cdn.sofifa.org/xs/18/teams/101025.png,750000.0,12000.0,1788,75,59,72,59,64,66,64,68,66,69,60,9,6,15,7,11,55,58,50,59,67,42,64,65,66,64,72,40,73,75,45,62,65,62
J. Brinkies,24,https://cdn.sofifa.org/sm/18/players/204380.png,Germany,https://cdn.sofifa.org/flags/21.png,67,73,FSV Zwickau,https://cdn.sofifa.org/xs/18/teams/110592.png,750000.0,1000.0,1170,52,20,55,52,24,33,10,12,12,19,15,66,63,67,68,73,10,21,71,29,11,8,28,13,58,34,36,11,52,42,9,66,55,8
Javi Hernández,28,https://cdn.sofifa.org/sm/18/players/202589.png,Spain,https://cdn.sofifa.org/flags/45.png,67,67,Cracovia,https://cdn.sofifa.org/xs/18/teams/110747.png,775000.0,5000.0,1688,67,40,64,71,70,48,62,70,68,71,65,8,11,12,7,10,37,52,39,65,68,22,58,55,61,67,74,25,73,62,48,57,70,59
De La Hoz,25,https://cdn.sofifa.org/sm/18/players/211037.png,Spain,https://cdn.sofifa.org/flags/45.png,67,70,Albacete Balompié,https://cdn.sofifa.org/xs/18/teams/1854.png,950000.0,13000.0,1680,46,59,58,70,63,55,43,36,60,32,64,8,12,12,9,12,55,67,67,66,68,56,42,63,65,68,43,59,63,78,70,68,64,34
J. Glad,20,https://cdn.sofifa.org/sm/18/players/222557.png,United States,https://cdn.sofifa.org/flags/95.png,67,77,Real Salt Lake,https://cdn.sofifa.org/xs/18/teams/111065.png,1100000.0,4000.0,1497,79,67,50,67,56,62,27,23,41,21,25,10,16,10,10,6,58,71,68,58,25,66,38,21,61,69,34,64,78,70,68,69,42,29
Fabri Arnoia,25,https://cdn.sofifa.org/sm/18/players/230493.png,Brazil,https://cdn.sofifa.org/flags/54.png,67,67,São Paulo Futebol Clube,https://cdn.sofifa.org/xs/18/teams/598.png,850000.0,17000.0,1613,78,49,71,82,61,72,51,45,72,48,65,8,9,15,16,8,72,22,54,45,64,23,72,57,71,59,63,11,81,57,12,62,48,62
P. Herrmann,29,https://cdn.sofifa.org/sm/18/players/238685.png,Germany,https://cdn.sofifa.org/flags/21.png,67,67,Holstein Kiel,https://cdn.sofifa.org/xs/18/teams/576.png,575000.0,8000.0,1539,70,70,65,68,56,58,62,59,53,28,19,15,9,8,9,10,47,67,71,56,20,65,20,28,62,57,35,74,66,77,70,69,31,23
J. Mall,26,https://cdn.sofifa.org/sm/18/players/189021.png,Switzerland,https://cdn.sofifa.org/flags/47.png,67,69,SV Darmstadt 98,https://cdn.sofifa.org/xs/18/teams/110502.png,650000.0,11000.0,1008,43,36,41,41,12,33,8,10,9,10,9,69,63,61,63,74,8,24,65,12,9,10,13,12,63,16,22,9,46,33,10,52,46,9
V. Alvarado,24,https://cdn.sofifa.org/sm/18/players/209758.png,United States,https://cdn.sofifa.org/flags/95.png,67,71,Necaxa,https://cdn.sofifa.org/xs/18/teams/101121.png,850000.0,7000.0,1652,62,64,62,60,61,56,56,54,54,29,33,11,15,12,10,10,67,62,74,59,48,65,34,23,62,63,56,66,69,66,67,77,52,49
A. Putsko,24,https://cdn.sofifa.org/sm/18/players/211294.png,Russia,https://cdn.sofifa.org/flags/40.png,67,73,FC SKA-Energiya Khabarovsk,https://cdn.sofifa.org/xs/18/teams/110101.png,900000.0,13000.0,1608,54,61,59,47,36,65,33,45,36,39,23,6,13,13,10,12,73,65,73,63,49,64,72,39,65,52,78,68,50,66,65,82,50,47
M. Little,28,https://cdn.sofifa.org/sm/18/players/170078.png,England,https://cdn.sofifa.org/flags/14.png,67,67,Bolton Wanderers,https://cdn.sofifa.org/xs/18/teams/4.png,600000.0,20000.0,1681,82,55,75,58,62,52,62,45,66,25,33,15,10,11,13,8,58,61,71,60,29,60,49,61,66,61,36,63,86,82,64,72,56,26
N. Mitrović,24,https://cdn.sofifa.org/sm/18/players/238942.png,Slovenia,https://cdn.sofifa.org/flags/44.png,67,73,Jagiellonia Białystok,https://cdn.sofifa.org/xs/18/teams/110745.png,900000.0,5000.0,1438,57,70,41,42,50,51,26,40,33,31,19,9,8,13,14,8,68,63,70,49,27,66,32,28,61,52,58,64,62,65,67,83,38,24
Jonathan Reis,28,https://cdn.sofifa.org/sm/18/players/182878.png,Brazil,https://cdn.sofifa.org/flags/54.png,67,67,Hokkaido Consadole Sapporo,https://cdn.sofifa.org/xs/18/teams/112444.png,800000.0,4000.0,1602,69,29,67,62,67,60,52,65,65,69,68,6,14,16,12,10,61,31,58,42,61,14,70,63,66,66,71,16,65,43,22,69,51,62
M. Kobras,31,https://cdn.sofifa.org/sm/18/players/183646.png,Austria,https://cdn.sofifa.org/flags/4.png,67,67,SCR Altach,https://cdn.sofifa.org/xs/18/teams/15009.png,475000.0,8000.0,1084,49,24,40,48,22,25,10,9,8,10,9,69,62,56,66,71,19,29,66,18,10,17,20,13,62,23,22,18,54,33,18,65,35,9
Q. Menig,21,https://cdn.sofifa.org/sm/18/players/209503.png,Netherlands,https://cdn.sofifa.org/flags/34.png,67,73,PEC Zwolle,https://cdn.sofifa.org/xs/18/teams/1914.png,1100000.0,11000.0,1644,87,41,89,67,71,51,55,70,72,34,65,14,9,12,12,8,54,29,55,50,60,20,57,58,64,61,66,25,87,67,25,47,55,58
S. Al Duayyi,24,https://cdn.sofifa.org/sm/18/players/219743.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,67,69,Al Faisaly,https://cdn.sofifa.org/xs/18/teams/112389.png,800000.0,12000.0,1696,73,67,68,65,61,50,60,37,57,30,40,8,12,13,10,15,62,63,79,46,43,65,43,47,66,62,49,63,66,80,64,80,43,59
C. Groß,28,https://cdn.sofifa.org/sm/18/players/193631.png,Germany,https://cdn.sofifa.org/flags/21.png,67,67,VfL Osnabrück,https://cdn.sofifa.org/xs/18/teams/487.png,625000.0,1000.0,1776,68,70,70,65,65,75,49,40,62,53,55,7,8,6,16,12,60,67,68,59,55,63,63,62,68,66,57,62,64,82,64,72,63,35
D. Morales,30,https://cdn.sofifa.org/sm/18/players/210784.png,Argentina,https://cdn.sofifa.org/flags/52.png,67,67,Club Atlético Tigre,https://cdn.sofifa.org/xs/18/teams/111715.png,725000.0,9000.0,1677,72,45,73,75,69,73,65,67,68,68,51,13,10,11,10,14,37,26,58,65,49,27,63,66,69,64,65,24,69,45,36,65,72,66
J. Gyamerah,22,https://cdn.sofifa.org/sm/18/players/216416.png,Germany,https://cdn.sofifa.org/flags/21.png,67,76,VfL Bochum,https://cdn.sofifa.org/xs/18/teams/160.png,1000000.0,9000.0,1707,71,53,70,73,70,70,64,55,65,34,34,13,12,15,12,11,58,66,61,63,62,63,42,53,66,67,42,63,72,67,68,69,47,26
E. Quiñones,28,https://cdn.sofifa.org/sm/18/players/218464.png,Colombia,https://cdn.sofifa.org/flags/56.png,67,67,CD Los Millionarios Bogota,https://cdn.sofifa.org/xs/18/teams/101105.png,775000.0,3000.0,1625,86,69,69,75,62,67,60,35,63,26,66,7,10,12,10,14,42,18,47,56,71,19,61,68,64,68,76,21,79,67,17,85,59,43
M. Caicedo,25,https://cdn.sofifa.org/sm/18/players/218976.png,Ecuador,https://cdn.sofifa.org/flags/57.png,67,68,,https://cdn.sofifa.org/flags/57.png,0.0,0.0,1693,79,44,73,67,65,61,60,63,70,62,62,6,10,14,14,8,54,46,48,55,60,28,59,64,62,62,69,24,82,78,25,74,58,48
L. Nomenjanahary,31,https://cdn.sofifa.org/sm/18/players/193376.png,Madagascar,https://cdn.sofifa.org/flags/124.png,67,67,Paris FC,https://cdn.sofifa.org/xs/18/teams/111817.png,675000.0,5000.0,1758,80,50,71,71,67,58,66,61,69,58,61,14,10,11,10,15,47,58,63,61,59,50,39,62,67,64,45,55,78,72,55,52,64,53
D. Steres,26,https://cdn.sofifa.org/sm/18/players/209761.png,United States,https://cdn.sofifa.org/flags/95.png,67,70,LA Galaxy,https://cdn.sofifa.org/xs/18/teams/697.png,800000.0,5000.0,1506,51,72,60,59,60,55,48,28,39,24,24,14,10,11,8,15,73,64,77,66,22,61,38,38,57,68,35,63,62,66,64,73,29,27
M. Medel,28,https://cdn.sofifa.org/sm/18/players/213601.png,Chile,https://cdn.sofifa.org/flags/55.png,67,67,Santiago Wanderers,https://cdn.sofifa.org/xs/18/teams/110976.png,750000.0,4000.0,1727,68,26,80,65,70,57,70,70,68,72,57,6,6,9,10,14,43,43,37,71,68,35,70,59,58,75,72,34,65,65,45,69,68,59
Y. Yeboah,20,https://cdn.sofifa.org/sm/18/players/229217.png,Ghana,https://cdn.sofifa.org/flags/117.png,67,77,Real Oviedo,https://cdn.sofifa.org/xs/18/teams/110827.png,1200000.0,6000.0,1581,86,38,81,79,71,65,56,50,74,48,60,7,13,13,11,6,55,19,62,48,54,17,62,63,63,60,61,14,85,56,23,30,58,58
E. Palacios,18,https://cdn.sofifa.org/sm/18/players/231521.png,Argentina,https://cdn.sofifa.org/flags/52.png,67,82,River Plate,https://cdn.sofifa.org/xs/18/teams/1876.png,1600000.0,7000.0,1763,73,44,78,70,72,69,61,55,70,42,56,10,5,8,9,6,57,47,70,62,71,53,54,62,59,70,68,54,76,78,57,54,65,47
D. Koppers,25,https://cdn.sofifa.org/sm/18/players/204386.png,Netherlands,https://cdn.sofifa.org/flags/34.png,67,68,PEC Zwolle,https://cdn.sofifa.org/xs/18/teams/1914.png,725000.0,6000.0,1781,74,70,66,75,66,65,62,55,65,37,44,16,8,10,11,15,67,67,85,59,40,67,48,64,64,65,57,66,71,68,64,63,56,36
J. Czerwiński,25,https://cdn.sofifa.org/sm/18/players/214882.png,Poland,https://cdn.sofifa.org/flags/37.png,67,68,Piast Gliwice,https://cdn.sofifa.org/xs/18/teams/111086.png,750000.0,6000.0,1456,55,81,60,61,41,64,30,33,26,24,23,7,7,9,14,13,64,69,74,31,22,65,33,35,61,41,58,71,64,68,64,78,30,44
J. Roa,22,https://cdn.sofifa.org/sm/18/players/227170.png,Colombia,https://cdn.sofifa.org/flags/56.png,67,75,Jaguares Fútbol Club,https://cdn.sofifa.org/xs/18/teams/112903.png,975000.0,1000.0,1678,61,59,71,71,68,50,48,36,60,32,42,14,12,14,13,7,58,66,73,65,45,69,36,57,56,71,43,63,66,80,65,58,66,33
R. Canouse,22,https://cdn.sofifa.org/sm/18/players/233314.png,United States,https://cdn.sofifa.org/flags/95.png,67,74,D.C. United,https://cdn.sofifa.org/xs/18/teams/688.png,925000.0,4000.0,1743,65,70,65,72,62,49,39,41,60,48,46,15,6,10,15,13,59,64,70,68,53,64,54,52,66,67,59,65,62,69,70,73,52,49
N. Law,29,https://cdn.sofifa.org/sm/18/players/173666.png,England,https://cdn.sofifa.org/flags/14.png,67,67,Bradford City,https://cdn.sofifa.org/xs/18/teams/1804.png,750000.0,8000.0,1788,73,56,74,71,65,67,59,63,65,63,56,16,8,16,16,16,50,59,72,53,48,43,62,68,69,61,60,42,71,92,45,62,71,43
L. Agouazi,33,https://cdn.sofifa.org/sm/18/players/177762.png,Algeria,https://cdn.sofifa.org/flags/97.png,67,67,Chamois Niortais FC,https://cdn.sofifa.org/xs/18/teams/1813.png,300000.0,4000.0,1755,56,76,42,57,61,54,58,52,60,47,51,15,8,16,8,16,68,65,68,69,54,58,67,42,63,72,58,60,67,73,64,72,70,42
R. Vilchis,27,https://cdn.sofifa.org/sm/18/players/192354.png,Mexico,https://cdn.sofifa.org/flags/83.png,67,67,Monarcas Morelia,https://cdn.sofifa.org/xs/18/teams/1028.png,800000.0,7000.0,1635,79,48,85,86,71,58,68,51,75,49,55,6,8,12,14,10,46,23,45,48,65,23,51,66,56,53,67,28,82,70,22,60,60,53
K. Escamilla,23,https://cdn.sofifa.org/sm/18/players/204131.png,Mexico,https://cdn.sofifa.org/flags/83.png,67,75,U.N.A.M.,https://cdn.sofifa.org/xs/18/teams/1881.png,975000.0,10000.0,1718,66,61,63,68,67,59,57,58,41,45,55,8,13,16,14,13,46,68,53,67,54,65,45,45,66,68,62,63,60,72,65,70,61,43
Carrillo,23,https://cdn.sofifa.org/sm/18/players/221539.png,Spain,https://cdn.sofifa.org/flags/45.png,67,74,Cádiz C.F.,https://cdn.sofifa.org/xs/18/teams/1968.png,1100000.0,5000.0,1581,68,34,55,56,61,55,59,45,66,39,72,11,12,14,13,12,68,13,74,36,71,17,77,69,62,57,75,23,69,70,19,42,63,59
J. Amoroso,29,https://cdn.sofifa.org/sm/18/players/226659.png,Argentina,https://cdn.sofifa.org/flags/52.png,67,67,Belgrano de Córdoba,https://cdn.sofifa.org/xs/18/teams/111022.png,750000.0,11000.0,1655,75,40,67,53,62,65,55,60,70,49,60,13,8,16,11,14,60,29,61,60,60,24,44,73,70,60,68,35,76,69,30,74,65,44
A. Barillà,29,https://cdn.sofifa.org/sm/18/players/173155.png,Italy,https://cdn.sofifa.org/flags/27.png,67,67,Parma,https://cdn.sofifa.org/xs/18/teams/50.png,725000.0,4000.0,1967,83,70,83,81,67,69,68,65,60,67,58,13,12,10,7,8,61,62,66,62,71,60,55,60,66,69,76,61,92,90,61,75,63,65
K. Agard,27,https://cdn.sofifa.org/sm/18/players/182883.png,England,https://cdn.sofifa.org/flags/14.png,67,67,Milton Keynes Dons,https://cdn.sofifa.org/xs/18/teams/1798.png,825000.0,9000.0,1737,80,60,87,75,58,56,60,40,64,31,63,13,6,9,10,7,62,46,83,54,60,48,68,69,70,60,64,22,81,71,30,70,55,61
J. Gradit,24,https://cdn.sofifa.org/sm/18/players/221284.png,France,https://cdn.sofifa.org/flags/18.png,67,70,Tours FC,https://cdn.sofifa.org/xs/18/teams/110326.png,800000.0,4000.0,1591,70,71,63,67,62,61,63,31,57,28,19,8,13,11,12,10,52,64,83,57,24,65,36,28,60,65,39,66,68,82,70,76,47,24
Leo Vimieiro,29,https://cdn.sofifa.org/sm/18/players/230244.png,Brazil,https://cdn.sofifa.org/flags/54.png,67,67,Atlético Clube Goianiense,https://cdn.sofifa.org/xs/18/teams/112119.png,600000.0,8000.0,1780,49,58,57,63,66,58,55,59,56,42,52,8,16,8,8,9,65,64,70,73,76,67,54,55,71,62,70,72,63,73,70,53,55,61
C. Spinelli,20,https://cdn.sofifa.org/sm/18/players/238180.png,Argentina,https://cdn.sofifa.org/flags/52.png,67,75,San Martín de San Juan,https://cdn.sofifa.org/xs/18/teams/111713.png,1100000.0,7000.0,1494,69,31,67,57,64,53,38,40,64,34,73,13,9,13,7,13,68,17,67,34,51,21,52,67,53,55,69,19,69,62,17,71,50,60
K. Gjasula,27,https://cdn.sofifa.org/sm/18/players/238692.png,Germany,https://cdn.sofifa.org/flags/21.png,67,68,Hallescher FC,https://cdn.sofifa.org/xs/18/teams/110482.png,725000.0,1000.0,1713,42,92,49,40,63,72,40,58,50,57,45,11,11,13,15,5,64,64,78,54,48,52,68,48,64,73,67,59,52,78,64,87,67,35
M. Pérez,24,https://cdn.sofifa.org/sm/18/players/202341.png,Mexico,https://cdn.sofifa.org/flags/83.png,67,70,Lobos de la BUAP,https://cdn.sofifa.org/xs/18/teams/111035.png,975000.0,28000.0,1688,74,41,78,79,64,48,63,69,68,68,59,10,9,13,14,12,49,23,70,60,68,23,52,65,67,67,56,21,73,69,25,60,66,53
D. Horst,31,https://cdn.sofifa.org/sm/18/players/186725.png,United States,https://cdn.sofifa.org/flags/95.png,67,67,Real Salt Lake,https://cdn.sofifa.org/xs/18/teams/111065.png,525000.0,5000.0,1359,33,70,45,30,49,47,38,39,30,30,21,7,12,13,7,6,65,62,69,37,21,64,35,27,67,63,23,61,52,70,65,90,45,13
A. Ibrahim,26,https://cdn.sofifa.org/sm/18/players/190821.png,Norway,https://cdn.sofifa.org/flags/36.png,67,68,Vålerenga Fotball,https://cdn.sofifa.org/xs/18/teams/920.png,875000.0,4000.0,1861,68,71,70,65,66,68,59,55,68,58,52,10,15,13,13,12,62,63,74,65,57,59,50,67,65,67,68,64,65,71,65,74,67,63
M. Cash,19,https://cdn.sofifa.org/sm/18/players/227174.png,England,https://cdn.sofifa.org/flags/14.png,67,81,Nottingham Forest,https://cdn.sofifa.org/xs/18/teams/14.png,1600000.0,10000.0,1749,79,51,82,67,68,70,66,63,66,46,46,15,16,13,13,8,42,63,65,64,54,39,44,54,62,67,52,63,83,79,62,48,67,42
M. Pučko,23,https://cdn.sofifa.org/sm/18/players/230758.png,Slovenia,https://cdn.sofifa.org/flags/44.png,67,73,Real Oviedo,https://cdn.sofifa.org/xs/18/teams/110827.png,1100000.0,6000.0,1682,76,42,73,77,68,61,63,66,70,57,68,15,13,6,6,15,60,48,51,56,70,14,58,71,65,61,66,22,72,52,36,43,57,65
D. Jiménez,28,https://cdn.sofifa.org/sm/18/players/187238.png,Mexico,https://cdn.sofifa.org/flags/83.png,67,67,Lobos de la BUAP,https://cdn.sofifa.org/xs/18/teams/111035.png,800000.0,7000.0,1689,73,63,70,75,68,55,60,58,72,55,68,12,16,15,14,8,59,24,61,57,64,26,58,65,68,62,64,27,75,64,25,64,39,60
K. McFadzean,30,https://cdn.sofifa.org/sm/18/players/173671.png,England,https://cdn.sofifa.org/flags/14.png,67,67,Burton Albion,https://cdn.sofifa.org/xs/18/teams/15015.png,575000.0,7000.0,1419,49,80,33,52,50,45,20,22,43,28,35,11,13,11,6,6,65,73,67,45,33,61,36,20,56,53,51,63,50,66,66,80,47,28
A. Moris,27,https://cdn.sofifa.org/sm/18/players/184167.png,Luxembourg,https://cdn.sofifa.org/flags/31.png,67,70,KV Mechelen,https://cdn.sofifa.org/xs/18/teams/110724.png,650000.0,7000.0,1154,41,24,46,44,34,36,20,16,16,14,11,68,68,62,63,69,19,17,64,33,15,15,27,16,64,36,36,19,48,26,14,54,43,12
L. Taylor,27,https://cdn.sofifa.org/sm/18/players/190311.png,Montserrat,https://cdn.sofifa.org/flags/84.png,67,67,AFC Wimbledon,https://cdn.sofifa.org/xs/18/teams/112259.png,825000.0,6000.0,1668,80,49,81,59,64,63,53,48,64,56,68,12,16,12,10,10,54,31,37,45,54,34,62,67,64,56,66,35,82,68,35,78,63,55
A. Al Asta,30,https://cdn.sofifa.org/sm/18/players/191847.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,67,67,Al Nassr,https://cdn.sofifa.org/xs/18/teams/112139.png,550000.0,20000.0,1907,84,70,82,72,69,71,70,71,66,60,59,8,15,11,12,12,57,60,76,59,65,64,58,64,59,66,76,58,77,78,59,64,55,51
Edgar Hernández,30,https://cdn.sofifa.org/sm/18/players/199784.png,Spain,https://cdn.sofifa.org/flags/45.png,67,67,CF Reus Deportiu,https://cdn.sofifa.org/xs/18/teams/110854.png,725000.0,6000.0,1660,54,81,54,49,66,59,57,73,61,70,68,13,7,16,9,6,72,24,60,45,70,14,69,70,63,55,76,16,62,66,40,57,53,64
S. Blondelle,31,https://cdn.sofifa.org/sm/18/players/172648.png,Belgium,https://cdn.sofifa.org/flags/7.png,67,67,KAS Eupen,https://cdn.sofifa.org/xs/18/teams/2013.png,525000.0,7000.0,1638,56,73,56,55,61,67,58,35,51,58,38,8,14,7,15,10,66,65,57,61,58,65,43,28,64,66,68,65,47,69,66,72,58,25
Zubiaurre,20,https://cdn.sofifa.org/sm/18/players/243304.png,Spain,https://cdn.sofifa.org/flags/45.png,67,76,Real Sociedad,https://cdn.sofifa.org/xs/18/teams/457.png,900000.0,8000.0,959,31,21,33,32,16,23,12,12,14,11,11,65,66,67,63,68,18,14,49,14,12,11,10,11,65,16,21,13,28,22,12,58,52,11
S. Wangberg,26,https://cdn.sofifa.org/sm/18/players/189544.png,Norway,https://cdn.sofifa.org/flags/36.png,67,69,Tromsø IL,https://cdn.sofifa.org/xs/18/teams/418.png,775000.0,3000.0,1542,58,77,45,46,60,62,43,34,33,32,31,16,7,16,11,9,71,64,61,55,37,63,21,47,64,56,62,63,55,65,65,81,50,44
M. Fedele,24,https://cdn.sofifa.org/sm/18/players/215401.png,Switzerland,https://cdn.sofifa.org/flags/47.png,67,71,Cesena,https://cdn.sofifa.org/xs/18/teams/110915.png,975000.0,3000.0,1819,65,61,61,58,66,65,62,59,60,61,55,15,13,11,11,12,52,62,62,68,68,54,53,62,62,70,73,62,68,75,67,79,64,48
S. Quinn,31,https://cdn.sofifa.org/sm/18/players/173673.png,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,67,67,Reading,https://cdn.sofifa.org/xs/18/teams/1793.png,650000.0,20000.0,1918,71,74,85,89,71,70,67,64,69,65,58,13,6,6,8,9,53,66,84,64,61,58,58,64,65,70,65,69,64,65,64,60,65,68
S. Bertram,26,https://cdn.sofifa.org/sm/18/players/197226.png,Germany,https://cdn.sofifa.org/flags/21.png,67,68,FC Erzgebirge Aue,https://cdn.sofifa.org/xs/18/teams/506.png,900000.0,6000.0,1783,71,39,74,64,69,49,65,73,69,74,65,13,16,9,15,12,47,42,62,60,66,37,74,63,63,66,72,35,76,65,37,60,65,65
L. DeVere,27,https://cdn.sofifa.org/sm/18/players/188779.png,Australia,https://cdn.sofifa.org/flags/195.png,67,68,Brisbane Roar,https://cdn.sofifa.org/xs/18/teams/111395.png,725000.0,4000.0,1514,52,65,50,49,56,66,32,21,32,36,35,10,8,13,12,7,59,68,70,54,44,64,47,35,58,63,56,63,66,55,68,85,50,31
P. Mortensen,27,https://cdn.sofifa.org/sm/18/players/191083.png,Denmark,https://cdn.sofifa.org/flags/13.png,67,67,Sarpsborg 08 FF,https://cdn.sofifa.org/xs/18/teams/112199.png,825000.0,3000.0,1554,55,53,61,53,61,61,39,34,57,33,67,7,13,16,12,8,71,26,81,28,62,19,60,70,68,64,68,21,55,66,22,83,63,58
E. Larsson,25,https://cdn.sofifa.org/sm/18/players/197996.png,Sweden,https://cdn.sofifa.org/flags/46.png,67,69,Malmö FF,https://cdn.sofifa.org/xs/18/teams/320.png,750000.0,4000.0,1793,77,70,73,72,65,58,66,61,63,62,46,16,8,6,9,11,41,59,73,61,56,61,50,59,62,64,57,63,79,80,62,63,56,42
D. von Ballmoos,22,https://cdn.sofifa.org/sm/18/players/219244.png,Switzerland,https://cdn.sofifa.org/flags/47.png,67,77,BSC Young Boys,https://cdn.sofifa.org/xs/18/teams/900.png,950000.0,8000.0,1125,47,18,35,41,21,30,16,19,17,13,16,68,68,63,66,67,13,26,57,23,15,20,30,16,58,31,25,15,42,28,19,81,30,21
N. Toko,26,https://cdn.sofifa.org/sm/18/players/190060.png,DR Congo,https://cdn.sofifa.org/flags/110.png,67,68,FC St. Gallen,https://cdn.sofifa.org/xs/18/teams/898.png,875000.0,10000.0,1908,89,81,92,81,69,71,51,45,66,33,48,12,15,8,14,11,47,62,92,65,55,62,44,65,63,68,64,68,91,90,65,70,60,62
J. Demetriou,29,https://cdn.sofifa.org/sm/18/players/165485.png,Cyprus,https://cdn.sofifa.org/flags/11.png,67,67,Southend United,https://cdn.sofifa.org/xs/18/teams/1954.png,575000.0,7000.0,1864,75,69,68,67,63,60,62,59,62,60,58,10,9,6,16,15,58,60,72,62,64,63,63,59,67,63,72,62,75,83,63,67,63,49
Song Si Woo,23,https://cdn.sofifa.org/sm/18/players/233581.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,67,73,Incheon United FC,https://cdn.sofifa.org/xs/18/teams/110765.png,1000000.0,4000.0,1663,74,55,68,61,68,63,66,58,68,46,64,14,10,8,12,8,45,39,71,61,58,40,53,71,61,66,59,41,73,44,38,55,61,47
D. Gavazzi,31,https://cdn.sofifa.org/sm/18/players/193645.png,Italy,https://cdn.sofifa.org/flags/27.png,67,67,Avellino,https://cdn.sofifa.org/xs/18/teams/2038.png,650000.0,3000.0,1819,73,61,70,73,69,67,65,60,65,51,60,4,10,13,6,13,59,65,72,67,70,43,51,62,66,70,71,51,71,73,51,68,65,51
S. Gustafson,22,https://cdn.sofifa.org/sm/18/players/213614.png,Sweden,https://cdn.sofifa.org/flags/46.png,67,73,Perugia,https://cdn.sofifa.org/xs/18/teams/199.png,1000000.0,20000.0,1731,64,55,71,57,72,63,62,68,71,64,56,16,15,8,12,11,39,52,31,65,67,47,48,59,65,69,65,56,61,64,59,64,71,47
C. Dell'Orco,23,https://cdn.sofifa.org/sm/18/players/231022.png,Italy,https://cdn.sofifa.org/flags/27.png,67,73,Sassuolo,https://cdn.sofifa.org/xs/18/teams/111974.png,875000.0,21000.0,1627,63,57,61,60,67,63,67,60,60,41,30,5,12,5,7,12,65,67,65,40,39,67,40,56,66,56,42,68,69,67,68,60,41,44
